Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-22,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-23,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-24,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-25,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-28,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-29,132.949997,132.949997,132.949997,132.949997,132.949997,0
2019-01-30,130.000000,130.000000,130.000000,130.000000,130.000000,20
2019-01-31,130.000000,130.000000,130.000000,130.000000,130.000000,0
2019-02-01,130.000000,130.000000,130.000000,130.000000,130.000000,0
2019-02-04,130.000000,130.000000,130.000000,130.000000,130.000000,80
2019-02-05,134.000000,134.000000,134.000000,134.000000,134.000000,55
2019-02-06,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-07,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-08,138.000000,138.000000,138.000000,138.000000,138.000000,2
2019-02-11,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-12,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-13,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-14,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-15,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-19,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-20,138.000000,138.000000,138.000000,138.000000,138.000000,0
2019-02-21,134.000000,134.000000,134.000000,134.000000,134.000000,20
2019-02-22,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-25,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-26,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-27,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-02-28,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-01,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-04,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-05,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-06,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-07,134.000000,134.000000,134.000000,134.000000,134.000000,2
2019-03-08,134.000000,134.000000,134.000000,134.000000,134.000000,0
2019-03-11,9.410000,9.800000,9.290000,9.650000,9.650000,477000
2019-03-12,9.700000,9.940000,9.600000,9.740000,9.740000,646500
2019-03-13,9.850000,10.340000,9.830000,10.180000,10.180000,1292200
2019-03-14,10.220000,10.480000,9.960000,10.000000,10.000000,876000
2019-03-15,10.060000,10.060000,9.790000,9.800000,9.800000,1686100
2019-03-18,9.920000,10.320000,9.910000,10.170000,10.170000,787700
2019-03-19,10.270000,10.540000,10.195000,10.370000,10.370000,884000
2019-03-20,10.330000,10.750000,10.250000,10.500000,10.500000,587400
2019-03-21,10.380000,10.550000,10.156000,10.280000,10.280000,551900
2019-03-22,10.070000,10.080000,9.530000,9.690000,9.690000,652000
2019-03-25,9.590000,10.090000,9.500000,10.020000,10.020000,517500
2019-03-26,10.220000,10.660000,10.110000,10.570000,10.570000,834100
2019-03-27,10.500000,10.810000,10.450000,10.760000,10.760000,970700
2019-03-28,10.630000,11.300000,10.630000,11.030000,11.030000,1357700
2019-03-29,11.310000,11.310000,10.730000,10.890000,10.890000,560700
2019-04-01,10.980000,11.410000,10.890000,11.230000,11.230000,537900
2019-04-02,11.300000,11.300000,11.020000,11.190000,11.190000,540900
2019-04-03,11.290000,11.410000,11.000000,11.040000,11.040000,395300
2019-04-04,11.070000,11.640000,11.060000,11.610000,11.610000,593700
2019-04-05,11.670000,12.015000,11.530000,11.960000,11.960000,964900
2019-04-08,12.000000,12.110000,11.820000,12.040000,12.040000,436400
2019-04-09,11.910000,11.930000,11.590000,11.590000,11.590000,465700
2019-04-10,11.670000,11.940000,11.670000,11.770000,11.770000,606400
2019-04-11,11.720000,11.900000,11.460000,11.570000,11.570000,369300
2019-04-12,11.790000,12.380000,11.690000,11.880000,11.880000,1038500
2019-04-15,11.780000,11.960000,11.690000,11.700000,11.700000,349600
2019-04-16,11.850000,12.260000,11.795000,12.210000,12.210000,468600
2019-04-17,12.250000,12.390000,12.160000,12.190000,12.190000,424700
2019-04-18,12.180000,12.500000,11.780000,11.850000,11.850000,632100
2019-04-22,12.010000,12.140000,11.750000,12.080000,12.080000,598700
2019-04-23,12.080000,12.200000,11.920000,11.950000,11.950000,463900
2019-04-24,11.910000,11.910000,11.460000,11.460000,11.460000,590000
2019-04-25,11.430000,11.560000,11.110000,11.130000,11.130000,591100
2019-04-26,10.970000,11.120000,10.858000,10.990000,10.990000,774900
2019-04-29,10.970000,11.215000,10.880000,11.100000,11.100000,782900
2019-04-30,11.250000,11.310000,10.320000,10.490000,10.490000,1240200
2019-05-01,10.480000,10.660000,10.230000,10.370000,10.370000,727100
2019-05-02,10.310000,10.600000,10.150000,10.350000,10.350000,442200
2019-05-03,10.510000,10.650000,10.410000,10.590000,10.590000,772200
2019-05-06,10.340000,10.760000,10.340000,10.680000,10.680000,527200
2019-05-07,10.330000,10.800000,10.260000,10.600000,10.600000,1474700
2019-05-08,10.650000,10.780000,9.540000,10.340000,10.340000,1445700
2019-05-09,10.160000,10.240000,9.520000,9.530000,9.530000,1102100
2019-05-10,9.440000,9.630000,9.135000,9.500000,9.500000,1265000
2019-05-13,9.360000,9.583000,8.850000,8.950000,8.950000,673700
2019-05-14,9.010000,9.560000,9.010000,9.480000,9.480000,1228000
2019-05-15,9.340000,9.640000,9.230000,9.420000,9.420000,380600
2019-05-16,9.510000,9.950000,9.470000,9.670000,9.670000,554100
2019-05-17,9.520000,9.680000,8.970000,9.010000,9.010000,607800
2019-05-20,8.930000,9.020000,8.650000,8.730000,8.730000,697600
2019-05-21,8.790000,8.870000,8.670000,8.820000,8.820000,801400
2019-05-22,8.760000,8.800000,8.320000,8.420000,8.420000,643000
2019-05-23,8.150000,8.190000,7.750000,7.990000,7.990000,567600
2019-05-24,8.150000,8.155000,7.810000,7.950000,7.950000,374000
2019-05-28,7.940000,7.995000,7.820000,7.850000,7.850000,419200
2019-05-29,7.680000,7.990000,7.580000,7.820000,7.820000,810900
2019-05-30,7.840000,7.890000,7.545000,7.570000,7.570000,476700
2019-05-31,7.380000,7.500000,7.220000,7.340000,7.340000,402000
2019-06-03,7.350000,7.570000,7.200000,7.540000,7.540000,942000
2019-06-04,7.670000,7.900000,7.530000,7.550000,7.550000,889900
2019-06-05,7.520000,7.560000,6.920000,7.030000,7.030000,579700
2019-06-06,6.990000,7.210000,6.660000,6.970000,6.970000,650900
2019-06-07,7.000000,7.230000,6.825000,7.120000,7.120000,693600
2019-06-10,7.120000,7.570000,7.120000,7.350000,7.350000,1137400
2019-06-11,7.460000,7.895000,7.460000,7.580000,7.580000,1157100
2019-06-12,7.450000,7.620000,7.170000,7.190000,7.190000,596600
2019-06-13,7.360000,7.450000,7.050000,7.440000,7.440000,744200
2019-06-14,7.410000,7.440000,6.980000,6.990000,6.990000,417500
2019-06-17,6.860000,7.920000,6.610000,7.480000,7.480000,5424900
2019-06-18,7.480000,7.780000,7.115000,7.290000,7.290000,2410900
2019-06-19,7.290000,7.400000,7.070000,7.240000,7.240000,1327300
2019-06-20,7.470000,7.720000,7.410000,7.600000,7.600000,1332100
2019-06-21,7.520000,7.706000,7.270000,7.430000,7.430000,1089200
2019-06-24,7.420000,7.490000,7.060000,7.230000,7.230000,1327700
2019-06-25,7.130000,7.140000,6.780000,6.930000,6.930000,1745200
2019-06-26,7.070000,7.350000,6.965000,7.160000,7.160000,1710000
2019-06-27,7.190000,7.200000,6.980000,7.020000,7.020000,1120900
2019-06-28,7.010000,7.090000,6.720000,6.720000,6.720000,4200500
2019-07-01,6.940000,7.060000,6.630000,6.700000,6.700000,1710500
2019-07-02,6.710000,6.730000,6.430000,6.540000,6.540000,2216300
2019-07-03,6.550000,6.570000,6.360000,6.500000,6.500000,456000
2019-07-05,6.450000,6.710000,6.420000,6.650000,6.650000,1065200
2019-07-08,6.590000,6.835000,6.560000,6.660000,6.660000,1251200
2019-07-09,6.600000,6.680000,6.500000,6.620000,6.620000,1135000
2019-07-10,6.660000,6.990000,6.660000,6.900000,6.900000,1438200
2019-07-11,6.920000,7.030000,6.865000,6.910000,6.910000,733700
2019-07-12,6.920000,6.950000,6.770000,6.840000,6.840000,850400
2019-07-15,6.880000,6.950000,6.610000,6.680000,6.680000,1169800
2019-07-16,6.680000,6.890000,6.520000,6.550000,6.550000,2197100
2019-07-17,6.510000,6.540000,6.060000,6.080000,6.080000,1482400
2019-07-18,6.020000,6.070000,5.700000,5.740000,5.740000,1432100
2019-07-19,5.730000,5.910000,5.600000,5.850000,5.850000,1562600
2019-07-22,5.870000,6.040000,5.720000,5.890000,5.890000,1174300
2019-07-23,5.890000,6.070000,5.890000,5.970000,5.970000,853000
2019-07-24,5.960000,6.040000,5.810000,5.900000,5.900000,1187200
2019-07-25,5.910000,5.930000,5.415000,5.550000,5.550000,1870800
2019-07-26,5.570000,5.580000,5.200000,5.300000,5.300000,1786600
2019-07-29,5.300000,5.370000,4.960000,5.000000,5.000000,2133300
2019-07-30,5.480000,6.240000,5.250000,6.190000,6.190000,6392400
2019-07-31,6.270000,6.600000,6.170000,6.290000,6.290000,3779500
2019-08-01,6.260000,6.290000,5.552000,5.720000,5.720000,2744200
2019-08-02,5.730000,5.940000,5.560000,5.620000,5.620000,2621300
2019-08-05,5.500000,5.710000,5.230000,5.640000,5.640000,2064200
2019-08-06,5.710000,5.710000,5.170000,5.390000,5.390000,2031600
2019-08-07,5.260000,5.635000,5.200000,5.580000,5.580000,1929700
2019-08-08,5.620000,5.690000,5.430000,5.610000,5.610000,1391700
2019-08-09,5.630000,5.630000,5.095000,5.320000,5.320000,1792900
2019-08-12,5.260000,5.330000,5.100000,5.320000,5.320000,1344800
2019-08-13,5.330000,5.580000,5.230000,5.310000,5.310000,1661900
2019-08-14,5.130000,5.280000,4.910000,5.010000,5.010000,1686100
2019-08-15,4.970000,5.125000,4.860000,5.050000,5.050000,1400300
2019-08-16,5.120000,5.340000,5.070000,5.310000,5.310000,1359200
2019-08-19,5.460000,5.490000,5.335000,5.430000,5.430000,994900
2019-08-20,5.360000,5.555000,5.330000,5.480000,5.480000,1168200
2019-08-21,5.590000,5.590000,5.400000,5.500000,5.500000,880200
2019-08-22,5.500000,5.530000,5.200000,5.200000,5.200000,872100
2019-08-23,5.100000,5.195000,4.960000,4.970000,4.970000,912800
2019-08-26,5.060000,5.110000,4.900000,4.900000,4.900000,1056400
2019-08-27,4.950000,5.010000,4.800000,4.800000,4.800000,1043300
2019-08-28,4.820000,5.070000,4.690000,4.980000,4.980000,1462300
2019-08-29,5.040000,5.350000,5.040000,5.270000,5.270000,1798000
2019-08-30,5.260000,5.500000,5.220000,5.300000,5.300000,1407900
2019-09-03,5.160000,5.250000,4.935000,5.160000,5.160000,1488600
2019-09-04,5.280000,5.300000,5.125000,5.150000,5.150000,2233100
2019-09-05,5.220000,5.565000,5.180000,5.440000,5.440000,1379400
2019-09-06,5.400000,5.610000,5.180000,5.590000,5.590000,1724700
2019-09-09,5.460000,5.860000,5.460000,5.830000,5.830000,1481100
2019-09-10,5.890000,6.250000,5.810000,5.960000,5.960000,2398400
2019-09-11,5.980000,6.375000,5.860000,6.220000,6.220000,3117500
2019-09-12,5.980000,6.230000,5.730000,6.140000,6.140000,2679800
2019-09-13,6.220000,6.570000,6.130000,6.270000,6.270000,2062100
2019-09-16,6.840000,7.210000,6.665000,6.950000,6.950000,3257800
2019-09-17,6.850000,6.925000,6.255000,6.500000,6.500000,1370900
2019-09-18,6.400000,6.650000,6.280000,6.380000,6.380000,1237700
2019-09-19,6.430000,6.460000,6.300000,6.320000,6.320000,1089500
2019-09-20,6.330000,6.440000,6.180000,6.200000,6.200000,2331800
2019-09-23,6.110000,6.550000,6.080000,6.520000,6.520000,1730300
2019-09-24,6.470000,6.500000,5.975000,6.090000,6.090000,1697000
2019-09-25,5.960000,6.195000,5.820000,6.170000,6.170000,1587300
2019-09-26,6.090000,6.115000,5.920000,5.960000,5.960000,1184900
2019-09-27,5.880000,6.115000,5.870000,6.100000,6.100000,1901200
2019-09-30,6.080000,6.130000,6.020000,6.060000,6.060000,1321300
2019-10-01,6.040000,6.170000,5.610000,5.650000,5.650000,962600
2019-10-02,5.590000,5.690000,5.365000,5.560000,5.560000,1615700
2019-10-03,5.530000,5.730000,5.360000,5.660000,5.660000,1707900
2019-10-04,5.720000,5.830000,5.470000,5.580000,5.580000,1779600
2019-10-07,5.540000,5.700000,5.500000,5.600000,5.600000,1135200
2019-10-08,5.460000,5.530000,5.220000,5.440000,5.440000,1413800
2019-10-09,5.510000,5.520000,5.200000,5.270000,5.270000,1418900
2019-10-10,5.330000,5.340000,5.000000,5.120000,5.120000,1998800
2019-10-11,5.250000,5.310000,5.080000,5.210000,5.210000,2254500
2019-10-14,5.080000,5.140000,4.670000,4.950000,4.950000,2857200
2019-10-15,4.920000,5.000000,4.720000,4.730000,4.730000,1276300
2019-10-16,4.700000,4.940000,4.680000,4.760000,4.760000,2111300
2019-10-17,4.780000,4.820000,4.680000,4.750000,4.750000,1545100
2019-10-18,4.720000,4.930000,4.700000,4.830000,4.830000,2522200
2019-10-21,4.850000,5.160000,4.800000,5.100000,5.100000,1549200
2019-10-22,5.080000,5.380000,5.020000,5.260000,5.260000,1829200
2019-10-23,5.230000,5.560000,5.110000,5.510000,5.510000,2060200
2019-10-24,5.540000,5.590000,5.280000,5.410000,5.410000,1527600
2019-10-25,5.370000,5.690000,5.285000,5.670000,5.670000,4217700
2019-10-28,5.680000,5.780000,5.485000,5.550000,5.550000,1946500
2019-10-29,5.270000,5.310000,4.990000,5.100000,5.100000,6404400
2019-10-30,5.060000,5.095000,4.400000,4.550000,4.550000,7016000
2019-10-31,4.520000,4.580000,4.300000,4.325000,4.325000,1699700
2019-11-01,4.370000,4.460000,4.240000,4.380000,4.380000,2371600
2019-11-04,4.420000,4.780000,4.330000,4.670000,4.670000,6472700
2019-11-05,4.780000,4.780000,4.480000,4.520000,4.520000,2532300
2019-11-06,4.520000,4.550000,4.050000,4.070000,4.070000,3670600
2019-11-07,4.810000,5.700000,4.810000,5.150000,5.150000,5726700
2019-11-08,5.310000,5.465000,5.120000,5.370000,5.370000,2882500
2019-11-11,5.310000,5.390000,5.040000,5.300000,5.300000,2111600
2019-11-12,5.310000,5.310000,5.090000,5.170000,5.170000,1398200
2019-11-13,5.180000,5.180000,4.810000,4.830000,4.830000,2207700
2019-11-14,4.840000,5.010000,4.750000,4.770000,4.770000,1408700
2019-11-15,4.840000,5.025000,4.830000,4.910000,4.910000,1306000
2019-11-18,4.880000,4.880000,4.590000,4.740000,4.740000,1515000
2019-11-19,4.750000,4.750000,4.480000,4.670000,4.670000,1531300
2019-11-20,4.700000,4.750000,4.420000,4.570000,4.570000,1768100
2019-11-21,4.590000,4.660000,4.450000,4.600000,4.600000,959400
2019-11-22,4.620000,4.720000,4.545000,4.660000,4.660000,749600
2019-11-25,4.680000,4.890000,4.650000,4.830000,4.830000,1831100
2019-11-26,4.820000,4.850000,4.640000,4.720000,4.720000,888300
2019-11-27,4.780000,4.970000,4.720000,4.940000,4.940000,897600
2019-11-29,4.850000,4.915000,4.740000,4.790000,4.790000,421000
2019-12-02,5.000000,5.180000,4.900000,5.080000,5.080000,2640900
2019-12-03,4.990000,5.140000,4.940000,5.080000,5.080000,2174500
2019-12-04,5.210000,5.320000,5.090000,5.260000,5.260000,1534200
2019-12-05,5.340000,5.340000,5.040000,5.140000,5.140000,1783400
2019-12-06,5.200000,5.550000,5.110000,5.500000,5.500000,2133700
2019-12-09,5.420000,5.620000,5.400000,5.590000,5.590000,1832100
2019-12-10,5.620000,5.800000,5.450000,5.670000,5.670000,2472900
2019-12-11,5.800000,6.095000,5.600000,5.920000,5.920000,1801800
2019-12-12,5.990000,6.320000,5.990000,6.270000,6.270000,1889000
2019-12-13,6.250000,6.380000,6.150000,6.370000,6.370000,2030700
2019-12-16,6.420000,6.760000,6.370000,6.640000,6.640000,2056400
2019-12-17,6.860000,6.860000,6.630000,6.790000,6.790000,2615200
2019-12-18,6.750000,6.908000,6.660000,6.740000,6.740000,1316400
2019-12-19,6.740000,6.890000,6.700000,6.730000,6.730000,1701100
2019-12-20,6.800000,6.850000,6.520000,6.660000,6.660000,3157000
2019-12-23,6.690000,6.930000,6.540000,6.910000,6.910000,1094200
2019-12-24,6.930000,6.990000,6.850000,6.900000,6.900000,353600
2019-12-26,6.970000,6.970000,6.770000,6.810000,6.810000,674200
2019-12-27,6.840000,6.840000,6.510000,6.540000,6.540000,1311100
2019-12-30,6.560000,6.700000,6.460000,6.690000,6.690000,1287400
2019-12-31,6.630000,6.830000,6.530000,6.700000,6.700000,1474900
2020-01-02,6.750000,6.760000,6.380000,6.510000,6.510000,2023700
2020-01-03,6.710000,6.780000,6.505000,6.720000,6.720000,1422900
2020-01-06,6.870000,7.140000,6.820000,7.010000,7.010000,2151100
2020-01-07,7.030000,7.030000,6.750000,6.870000,6.870000,1314200
2020-01-08,6.900000,6.940000,6.280000,6.470000,6.470000,2161300
2020-01-09,6.560000,6.640000,6.420000,6.580000,6.580000,1044400
2020-01-10,6.520000,6.685000,6.400000,6.620000,6.620000,1393200
2020-01-13,6.610000,6.625000,6.420000,6.430000,6.430000,1093500
2020-01-14,6.370000,6.460000,6.180000,6.410000,6.410000,1241500
2020-01-15,6.320000,6.555000,6.320000,6.430000,6.430000,1939400
2020-01-16,6.610000,6.960000,6.590000,6.820000,6.820000,2309500
2020-01-17,6.870000,6.940000,6.760000,6.770000,6.770000,1788100
2020-01-21,6.760000,6.760000,6.220000,6.240000,6.240000,2468800
2020-01-22,6.190000,6.285000,5.910000,6.160000,6.160000,2691700
2020-01-23,6.050000,6.160000,5.780000,5.860000,5.860000,2064000
2020-01-24,5.820000,5.840000,5.410000,5.460000,5.460000,1547900
2020-01-27,5.250000,5.320000,5.130000,5.190000,5.190000,1639400
2020-01-28,5.230000,5.390000,5.100000,5.330000,5.330000,1507500
2020-01-29,5.400000,5.570000,5.300000,5.300000,5.300000,1199500
2020-01-30,5.190000,5.400000,5.130000,5.380000,5.380000,1032700
2020-01-31,5.260000,5.280000,5.050000,5.150000,5.150000,1483200
2020-02-03,5.190000,5.190000,4.820000,4.850000,4.850000,1372500
2020-02-04,5.000000,5.240000,5.000000,5.190000,5.190000,1628800
2020-02-05,5.300000,5.780000,5.300000,5.740000,5.740000,1956000
2020-02-06,5.730000,5.740000,5.160000,5.190000,5.190000,1789000
2020-02-07,5.110000,5.370000,5.040000,5.210000,5.210000,1726500
2020-02-10,5.120000,5.130000,5.020000,5.060000,5.060000,2142900
2020-02-11,5.170000,5.270000,5.060000,5.180000,5.180000,2160100
2020-02-12,5.350000,5.470000,5.125000,5.330000,5.330000,1868400
2020-02-13,5.270000,5.450000,5.270000,5.360000,5.360000,1219500
2020-02-14,5.380000,5.490000,5.265000,5.450000,5.450000,1046600
2020-02-18,5.360000,5.440000,5.250000,5.360000,5.360000,927200
2020-02-19,5.420000,5.730000,5.370000,5.660000,5.660000,1033600
2020-02-20,5.670000,5.810000,5.610000,5.740000,5.740000,1199900
2020-02-21,5.660000,5.660000,5.360000,5.510000,5.510000,1214600
2020-02-24,5.290000,5.360000,5.140000,5.180000,5.180000,1329000
2020-02-25,5.200000,5.200000,4.940000,5.120000,5.120000,2159100
2020-02-26,5.140000,5.155000,4.810000,4.890000,4.890000,1608400
2020-02-27,4.720000,4.800000,4.380000,4.670000,4.670000,1293600
2020-02-28,4.510000,4.660000,4.445000,4.660000,4.660000,1575000
2020-03-02,4.680000,4.735000,4.305000,4.520000,4.520000,2099900
2020-03-03,4.530000,4.660000,4.230000,4.320000,4.320000,2491300
2020-03-04,4.430000,4.480000,4.240000,4.350000,4.350000,1323200
2020-03-05,4.250000,4.280000,4.020000,4.140000,4.140000,2178200
2020-03-06,3.820000,4.020000,3.300000,3.440000,3.440000,3792500
2020-03-09,2.060000,2.310000,1.960000,2.030000,2.030000,4726600
2020-03-10,2.140000,2.180000,1.610000,2.060000,2.060000,6130400
2020-03-11,2.020000,2.030000,1.530000,1.540000,1.540000,4864700
2020-03-12,1.470000,1.540000,1.020000,1.270000,1.270000,7546600
2020-03-13,1.410000,1.510000,1.065000,1.180000,1.180000,7368200
2020-03-16,1.110000,1.180000,1.030000,1.080000,1.080000,4853400
2020-03-17,1.080000,1.160000,1.020000,1.160000,1.160000,2744200
2020-03-18,1.110000,1.160000,1.020000,1.070000,1.070000,2487200
2020-03-19,1.120000,1.340000,1.030000,1.310000,1.310000,2421200
2020-03-20,1.350000,1.400000,1.080000,1.190000,1.190000,4839500
2020-03-23,1.200000,1.210000,1.070000,1.090000,1.090000,1689100
2020-03-24,1.190000,1.440000,1.105000,1.440000,1.440000,2045300
2020-03-25,1.450000,1.450000,1.200000,1.250000,1.250000,2131500
2020-03-26,1.300000,1.310000,1.080000,1.160000,1.160000,4211200
2020-03-27,1.120000,1.260000,1.000000,1.120000,1.120000,1990600
2020-03-30,1.100000,1.154000,1.010000,1.040000,1.040000,1595400
2020-03-31,1.070000,1.190000,1.060000,1.170000,1.170000,1559500
2020-04-01,1.070000,1.150000,1.040000,1.110000,1.110000,1787900
2020-04-02,1.290000,1.310000,1.180000,1.280000,1.280000,2990900
2020-04-03,1.370000,1.445000,1.230000,1.330000,1.330000,2150500
2020-04-06,1.390000,1.500000,1.330000,1.410000,1.410000,1954600
2020-04-07,1.450000,1.630000,1.425000,1.510000,1.510000,3193600
2020-04-08,1.440000,1.800000,1.440000,1.720000,1.720000,2296800
2020-04-09,1.790000,2.280000,1.750000,1.950000,1.950000,3100700
2020-04-13,2.010000,2.140000,1.760000,1.800000,1.800000,1823300
2020-04-14,1.890000,1.913000,1.680000,1.790000,1.790000,1424100
2020-04-15,1.660000,1.750000,1.510000,1.700000,1.700000,1057300
2020-04-16,1.720000,1.720000,1.510000,1.540000,1.540000,1055700
2020-04-17,1.570000,1.850000,1.559000,1.820000,1.820000,2016700
2020-04-20,1.740000,1.800000,1.620000,1.790000,1.790000,1155900
2020-04-21,1.690000,1.790000,1.550000,1.610000,1.610000,928800
2020-04-22,1.650000,1.780000,1.570000,1.580000,1.580000,829000
2020-04-23,1.580000,2.350000,1.580000,2.170000,2.170000,6443900
2020-04-24,2.570000,2.650000,1.860000,2.000000,2.000000,6419000
2020-04-27,1.860000,1.900000,1.710000,1.800000,1.800000,2758500
2020-04-28,1.840000,1.950000,1.810000,1.890000,1.890000,1701100
2020-04-29,2.010000,2.640000,1.999000,2.570000,2.570000,5897800
2020-04-30,2.600000,2.620000,2.210000,2.320000,2.320000,2892000
2020-05-01,2.290000,2.370000,2.080000,2.320000,2.320000,2132900
2020-05-04,2.130000,2.430000,2.080000,2.390000,2.390000,1696800
2020-05-05,2.590000,2.600000,2.370000,2.400000,2.400000,2560600
2020-05-06,2.440000,2.450000,2.160000,2.200000,2.200000,1310000
2020-05-07,2.300000,2.490000,2.290000,2.420000,2.420000,2027500
2020-05-08,2.520000,2.710000,2.454000,2.690000,2.690000,2286500
2020-05-11,2.670000,2.740000,2.510000,2.550000,2.550000,1679400
2020-05-12,2.580000,2.660000,2.455000,2.520000,2.520000,2223300
2020-05-13,2.470000,2.470000,2.125000,2.300000,2.300000,1922100
2020-05-14,2.260000,2.385000,2.060000,2.290000,2.290000,1461400
2020-05-15,2.370000,2.600000,2.280000,2.420000,2.420000,1782800
2020-05-18,2.550000,2.840000,2.440000,2.760000,2.760000,2981200
2020-05-19,2.720000,2.860000,2.510000,2.760000,2.760000,2745700
2020-05-20,2.820000,3.130000,2.780000,3.070000,3.070000,2622200
2020-05-21,3.060000,3.070000,2.855000,2.990000,2.990000,1721000
2020-05-22,2.980000,2.980000,2.810000,2.850000,2.850000,687100
2020-05-26,3.000000,3.040000,2.920000,2.980000,2.980000,2506300
2020-05-27,3.020000,3.090000,2.880000,3.080000,3.080000,1266300
2020-05-28,3.160000,3.160000,2.910000,2.950000,2.950000,1747900
2020-05-29,3.050000,3.050000,2.820000,2.900000,2.900000,2782800
2020-06-01,2.950000,3.040000,2.820000,2.870000,2.870000,1686200
2020-06-02,2.900000,3.190000,2.900000,3.120000,3.120000,1974300
2020-06-03,3.120000,3.190000,2.990000,3.030000,3.030000,2122200
2020-06-04,2.950000,3.180000,2.885000,3.170000,3.170000,2889400
2020-06-05,3.410000,3.770000,3.410000,3.600000,3.600000,2451900
2020-06-08,3.820000,3.910000,3.450000,3.810000,3.810000,2417100
2020-06-09,3.650000,3.845000,3.480000,3.560000,3.560000,2182300
2020-06-10,3.530000,3.555000,3.270000,3.350000,3.350000,1614300
2020-06-11,3.020000,3.165000,2.780000,2.800000,2.800000,1954000
2020-06-12,3.080000,3.110000,2.790000,2.970000,2.970000,2088000
2020-06-15,2.860000,3.100000,2.710000,3.050000,3.050000,1651000
2020-06-16,3.300000,3.360000,2.940000,2.980000,2.980000,2004200
2020-06-17,2.980000,3.040000,2.840000,2.840000,2.840000,901900
2020-06-18,2.810000,3.010000,2.770000,2.850000,2.850000,1313800
2020-06-19,2.930000,3.000000,2.840000,2.870000,2.870000,2880100
2020-06-22,2.870000,2.880000,2.715000,2.760000,2.760000,1247700
2020-06-23,2.810000,2.910000,2.780000,2.810000,2.810000,911200
2020-06-24,2.680000,2.730000,2.500000,2.550000,2.550000,1694800
2020-06-25,2.510000,2.650000,2.410000,2.500000,2.500000,1004500
2020-06-26,2.440000,2.470000,2.180000,2.200000,2.200000,1998800
2020-06-29,2.250000,2.420000,2.230000,2.350000,2.350000,1117500
2020-06-30,2.310000,2.470000,2.210000,2.450000,2.450000,1433200
2020-07-01,2.510000,2.550000,2.320000,2.360000,2.360000,1394100
2020-07-02,2.460000,2.460000,2.260000,2.300000,2.300000,1150600
2020-07-06,2.360000,2.410000,2.260000,2.400000,2.400000,984700
2020-07-07,2.340000,2.350000,2.230000,2.290000,2.290000,1985700
2020-07-08,2.310000,2.390000,2.250000,2.340000,2.340000,1380000
2020-07-09,2.330000,2.350000,2.135000,2.150000,2.150000,2657600
2020-07-10,2.150000,2.270000,2.025000,2.240000,2.240000,1077000
2020-07-13,2.260000,2.280000,2.140000,2.160000,2.160000,1410200
2020-07-14,2.090000,2.260000,2.060000,2.250000,2.250000,1333100
2020-07-15,2.320000,2.540000,2.290000,2.520000,2.520000,1639900
2020-07-16,2.480000,2.565000,2.360000,2.440000,2.440000,791200
2020-07-17,2.430000,2.505000,2.377000,2.440000,2.440000,764700
2020-07-20,2.420000,2.530000,2.375000,2.490000,2.490000,1084900
2020-07-21,2.550000,2.810000,2.535000,2.770000,2.770000,1838400
2020-07-22,2.720000,2.720000,2.490000,2.710000,2.710000,1054100
2020-07-23,2.670000,2.760000,2.620000,2.750000,2.750000,845900
2020-07-24,2.760000,2.810000,2.636000,2.670000,2.670000,781400
2020-07-27,2.690000,2.750000,2.580000,2.700000,2.700000,730600
2020-07-28,2.660000,2.690000,2.515000,2.550000,2.550000,896000
2020-07-29,2.590000,2.705000,2.500000,2.680000,2.680000,1078300
2020-07-30,2.600000,2.640000,2.500000,2.590000,2.590000,886800
2020-07-31,2.540000,2.600000,2.425000,2.520000,2.520000,1121600
2020-08-03,2.560000,2.630000,2.440000,2.610000,2.610000,1024100
2020-08-04,2.600000,2.945000,2.571000,2.800000,2.800000,2171300
2020-08-05,2.870000,2.980000,2.780000,2.890000,2.890000,1594700
2020-08-06,2.920000,2.940000,2.720000,2.760000,2.760000,862300
2020-08-07,2.740000,2.800000,2.680000,2.800000,2.800000,795600
